id,mahc,tentinh,dientichkm2,dansonguoi,trungtamhc,kinhdo,vido,truocsapnhap,con
1,1,Thủ đô Hà Nội,"3.359,80",8.718.000,giữ nguyên,105.698,21.0001,không sáp nhập,126 ĐVHC (51 phường và 75 xã)
2,7,tỉnh Cao Bằng,"6.700,40",555.809,giữ nguyên,106.083,22.7456,không sáp nhập,"56 ĐVHC (03 phường, 53 xã)"
3,8,tỉnh Tuyên Quang,"13.795,50",1.865.270,Tuyên Quang (cũ),105.099,22.4897,tỉnh Hà Giang và tỉnh Tuyên Quang,"124 ĐVHC (07 phường, 117 xã)
"
4,9,tỉnh Lào Cai,"13.256,92",1.778.785,Yên Bái (cũ),104.347,22.0605,tỉnh Yên Bái và tỉnh Lào Cai,"99 ĐVHC (10 phường, 89 xã)"
5,13,tỉnh Điện Biên,"9.539,90",653.422,giữ nguyên,103.232,21.4766,không sáp nhập,"45 ĐVHC (03 phường, 42 xã)"
6,14,tỉnh Lai Châu,"9.068,70",494.626,giữ nguyên,103.185,22.3181,không sáp nhập,"38 ĐVHC (02 phường, 36 xã)"
7,15,tỉnh Sơn La,"14.109,80",1.327.430,giữ nguyên,104.069,21.1947,không sáp nhập,"75 ĐVHC (08 phường, 67 xã)"
8,10,tỉnh Thái Nguyên,"8.375,21",1.799.489,Thái Nguyên (cũ),105.824,22.0239,tỉnh Bắc Kạn và tỉnh Thái Nguyên,"92 ĐVHC (15 phường, 77 xã)"
9,11,tỉnh Lạng Sơn,"8.310,20",813.978,giữ nguyên,106.728,21.7736,không sáp nhập,"65 ĐVHC (04 phường, 61 xã)"
10,3,tỉnh Quảng Ninh,"6.207,90",1.429.841,giữ nguyên,107.223,21.2642,không sáp nhập,"54 ĐVHC (02 đặc khu, 30 phường, 22 xã)"
11,12,tỉnh Phú Thọ,"9.361,38",4.022.638,Phú Thọ (cũ),105.333,20.7065,"tỉnh Vĩnh Phúc, tỉnh Hòa Bình và tỉnh Phú Thọ","148 ĐVHC (15 phường, 133 xã)"
12,2,tỉnh Bắc Ninh,"4.718,60",3.619.433,Bắc Giang (cũ),106.167,21.2428,tỉnh Bắc Giang và tỉnh Bắc Ninh,"99 ĐVHC (33 phường, 66 xã)"
13,4,thành phố Hải Phòng,"3.194,72",4.664.124,Hải Phòng (cũ),106.47,20.8759,thành phố Hải Phòng và tỉnh Hải Dương,"114 ĐVHC (02 đặc khu, 45 phường, 67 xã)"
14,5,tỉnh Hưng Yên,"2.514,81",3.567.943,Hưng Yên (cũ),106.463,20.4528,tỉnh Thái Bình và tỉnh Hưng Yên,"104 ĐVHC (11 phường, 93 xã)"
15,6,tỉnh Ninh Bình,"3.942,62",4.412.264,Ninh Bình (cũ),106.046,20.3122,"tỉnh Hà Nam, tỉnh Nam Định và tỉnh Ninh Bình","129 ĐVHC (32 phường, 97 xã)"
16,16,tỉnh Thanh Hóa,"11.114,70",3.760.650,giữ nguyên,105.317,20.0468,không sáp nhập,"166 ĐVHC (19 phường, 147 xã)"
17,17,tỉnh Nghệ An,"16.493,70",3.470.988,giữ nguyên,104.944,19.2374,không sáp nhập,"130 ĐVHC (11 phường, 119 xã)"
18,18,tỉnh Hà Tĩnh,"5.994,40",1.622.901,giữ nguyên,105.735,18.2912,không sáp nhập,"69 ĐVHC (09 phường, 60 xã)"
19,19,tỉnh Quảng Trị,"12.700,00",1.870.845,Quảng Bình (cũ),106.527,17.2405,tỉnh Quảng Bình và tỉnh Quảng Trị,"78 ĐVHC (01 đặc khu, 08 phường, 69 xã)"
20,20,thành phố Huế,"4.947,10",1.236.393,giữ nguyên,107.517,16.3316,không sáp nhập,"40 ĐVHC (21 phường, 19 xã)"
21,21,thành phố Đà Nẵng,"11.859,59",3.065.628,Đà Nẵng (cũ),107.966,15.631,thành phố Đà Nẵng và tỉnh Quảng Nam,"94 ĐVHC (01 đặc khu, 23 phường, 70 xã)"
22,22,tỉnh Quảng Ngãi,"14.832,55",2.161.755,Quảng Ngãi (cũ),108.143,14.7688,tỉnh Kon Tum và tỉnh Quảng Ngãi,"96 ĐVHC (01 đặc khu, 09 phường, 86 xã)"
23,23,tỉnh Khánh Hòa,"8.555,86",2.243.554,Khánh Hòa (cũ),108.961,12.069,tỉnh Ninh Thuận và tỉnh Khánh Hòa,"65 ĐVHC (01 đặc khu, 16 phường, 48 xã)"
24,24,tỉnh Gia Lai,"21.576,53",3.583.693,Bình Định (cũ),108.438,13.8902,tỉnh Bình Định và tỉnh Gia Lai,"135 ĐVHC (25 phường, 110 xã)"
25,25,tỉnh Đắk Lắk,"18.096,40",3.346.853,Đắk Lắk (cũ),108.47,12.7067,tỉnh Phú Yên và tỉnh Đắk Lắk,"102 ĐVHC (14 phường, 88 xã)"
26,26,tỉnh Lâm Đồng,"24.233,07",3.872.999,Lâm Đồng (cũ),107.968,11.6739,"tỉnh Đắk Nông, tỉnh Bình Thuận và tỉnh Lâm Đồng","124 ĐVHC (01 đặc khu, 20 phường, 103 xã)"
27,27,tỉnh Tây Ninh,"8.536,44",3.254.170,Long An (cũ),106.123,10.6941,tỉnh Long An và tỉnh Tây Ninh,"96 ĐVHC (14 phường, 82 xã)"
28,28,tỉnh Đồng Nai,"12.737,18",4.491.408,Đồng Nai (cũ),107.034,11.4369,tỉnh Bình Phước và tỉnh Đồng Nai,"95 ĐVHC (23 phường, 72 xã)"
29,29,thành phố Hồ Chí Minh,"6.772,59",14.002.598,Tp. HCM (cũ),106.638,10.9926,"TPHCM, tỉnh Bà Rịa - Vũng Tàu và tỉnh Bình Dương","168 ĐVHC (01 đặc khu, 113 phường, 54 xã)"
30,30,tỉnh Vĩnh Long,"6.296,20",4.257.581,Vĩnh Long (cũ),106.292,9.99545,"tỉnh Bến Tre, tỉnh Trà Vinh và tỉnh Vĩnh Long","124 ĐVHC (19 phường, 105 xã)"
31,31,tỉnh Đồng Tháp,"5.938,64",4.370.046,Tiền Giang (cũ),105.999,10.4293,tỉnh Tiền Giang và tỉnh Đồng Tháp,"102 ĐVHC (20 phường, 82 xã)"
32,32,tỉnh An Giang,"9.888,91",4.952.238,Kiên Giang (cũ),105.096,10.1791,tỉnh Kiên Giang và tỉnh An Giang,"102 ĐVHC (03 đặc khu, 14 phường, 85 xã)"
33,33,thành phố Cần Thơ,"6.360,83",4.199.824,Cần Thơ (cũ),105.757,9.74372,"thành phố Cần Thơ, tỉnh Sóc Trăng và tỉnh Hậu Giang",103 ĐVHC (31 phường và 72 xã)
34,34,tỉnh Cà Mau,"7.942,39",2.606.672,Cà mau (cũ),105.182,9.1362,tỉnh Bạc Liêu và tỉnh Cà Mau,"64 ĐVHC (09 phường, 55 xã)"
